Date,Consumption,Wind,Solar,Wind+Solar
2015-01-01,1088.317,325.165,,
2015-01-02,1246.588,603.554,7.757000000000001,611.3109999999999
2015-01-03,1117.554,462.955,7.237,470.192
2015-01-04,1081.98,385.023,19.982,405.005
2015-01-05,1325.92,216.54,26.522,243.06199999999998
2015-01-06,1331.916,117.227,32.888,150.115
2015-01-07,1442.712,227.204,17.114,244.318
2015-01-08,1474.375,440.318,8.599,448.917
2015-01-09,1459.409,641.729,6.822,648.551
2015-01-10,1242.817,634.677,20.473,655.15
2015-01-11,1162.9560000000001,630.378,19.811,650.1890000000001
2015-01-12,1485.927,631.832,11.025,642.857
2015-01-13,1462.804,511.733,50.283,562.016
2015-01-14,1462.715,406.982,18.106,425.088
2015-01-15,1479.245,556.471,17.155,573.626
2015-01-16,1431.414,249.323,22.818,272.141
2015-01-17,1227.21,137.717,21.405,159.122
2015-01-18,1139.695,127.215,31.259,158.474
2015-01-19,1457.299,31.62,23.681,55.301
2015-01-20,1489.253,16.738,10.791,27.529
2015-01-21,1486.707,50.39,22.12,72.51
2015-01-22,1496.905,62.295,12.119,74.414
2015-01-23,1470.937,38.589999999999996,7.015,45.605
2015-01-24,1281.112,156.995,9.834,166.829
2015-01-25,1164.822,111.709,11.57,123.279
2015-01-26,1482.87,231.59199999999998,10.596,242.188
2015-01-27,1488.375,268.63,17.573,286.203
2015-01-28,1519.415,441.699,16.581,458.28000000000003
2015-01-29,1508.443,400.405,27.784,428.18899999999996
2015-01-30,1464.84,89.568,13.463000000000001,103.031
2015-01-31,1249.019,133.954,20.211,154.16500000000002
2015-02-01,1154.355,121.814,24.68,146.494
2015-02-02,1483.039,197.403,20.268,217.671
2015-02-03,1502.037,97.151,27.53,124.681
2015-02-04,1509.819,40.217,31.951,72.168
2015-02-05,1510.052,127.519,29.04,156.559
2015-02-06,1491.71,168.547,46.340999999999994,214.88799999999998
2015-02-07,1284.126,284.224,46.829,331.053
2015-02-08,1185.632,405.423,52.428000000000004,457.851
2015-02-09,1498.002,382.505,15.049000000000001,397.554
2015-02-10,1488.566,145.803,24.126,169.929
2015-02-11,1485.001,26.154,28.011,54.165
2015-02-12,1478.501,24.473,40.588,65.061
2015-02-13,1445.617,96.103,64.531,160.63400000000001
2015-02-14,1230.767,117.223,67.185,184.40800000000002
2015-02-15,1140.693,202.849,60.94,263.789
2015-02-16,1412.969,204.538,60.863,265.401
2015-02-17,1470.472,64.95,40.31,105.26
2015-02-18,1484.612,134.254,40.084,174.338
2015-02-19,1494.6589999999999,243.058,62.936,305.99399999999997
2015-02-20,1457.605,332.28499999999997,79.745,412.03
2015-02-21,1244.629,270.832,49.620000000000005,320.452
2015-02-22,1145.941,162.98,52.147999999999996,215.128
2015-02-23,1480.826,365.764,28.047,393.81100000000004
2015-02-24,1485.707,317.559,50.806,368.365
2015-02-25,1462.514,107.046,72.249,179.29500000000002
2015-02-26,1470.904,177.505,106.263,283.76800000000003
2015-02-27,1470.705,136.123,65.845,201.968
2015-02-28,1291.248,207.54399999999998,,
2015-03-01,1226.988,449.938,36.689,486.627
2015-03-02,1480.703,510.473,65.601,576.0740000000001
2015-03-03,1499.319,430.852,101.146,531.9979999999999
2015-03-04,1510.344,379.82,70.464,450.284
2015-03-05,1495.675,164.825,68.65299999999999,233.47799999999998
2015-03-06,1463.662,137.7,65.591,203.291
2015-03-07,1282.701,269.203,114.555,383.758
2015-03-08,1181.541,202.513,134.967,337.48
2015-03-09,1435.309,74.482,118.812,193.29399999999998
2015-03-10,1462.913,145.528,97.029,242.557
2015-03-11,1437.868,124.231,114.654,238.885
2015-03-12,1438.843,74.429,104.666,179.095
2015-03-13,1423.038,153.325,85.05199999999999,238.37699999999998
2015-03-14,1231.576,147.215,41.484,188.699
2015-03-15,1133.542,243.312,63.373999999999995,306.68600000000004
2015-03-16,1414.431,334.719,117.274,451.993
2015-03-17,1410.491,186.918,131.46,318.37800000000004
2015-03-18,1396.249,113.941,149.835,263.776
2015-03-19,1401.271,45.01,135.883,180.893
2015-03-20,1385.701,35.961,123.325,159.286
2015-03-21,1208.019,164.02100000000002,75.309,239.33
2015-03-22,1100.999,132.09,87.082,219.172
2015-03-23,1397.927,66.905,113.18599999999999,180.091
2015-03-24,1418.924,23.567,117.003,140.57
2015-03-25,1411.658,142.024,97.624,239.648
2015-03-26,1434.0149999999999,120.27,38.512,158.78199999999998
2015-03-27,1415.5149999999999,219.295,76.243,295.538
2015-03-28,1193.753,214.583,115.419,330.002
2015-03-29,1115.478,511.272,37.867000000000004,549.139
2015-03-30,1437.551,513.145,90.4,603.545
2015-03-31,1480.838,624.673,69.417,694.09
2015-04-01,1464.67,571.055,98.713,669.7679999999999
2015-04-02,1415.983,418.503,81.68900000000001,500.192
2015-04-03,1093.478,161.446,140.233,301.679
2015-04-04,1084.874,88.662,96.847,185.50900000000001
2015-04-05,988.726,72.337,151.39,223.72699999999998
2015-04-06,1021.796,76.941,111.568,188.50900000000001
2015-04-07,1378.376,155.839,159.792,315.631
2015-04-08,1385.99,78.782,125.823,204.605
2015-04-09,1360.159,24.701,175.447,200.148
2015-04-10,1328.802,44.872,180.738,225.61
2015-04-11,1147.825,351.79699999999997,112.848,464.645
2015-04-12,1046.74,300.332,159.131,459.46299999999997
2015-04-13,1366.089,334.797,144.957,479.754
2015-04-14,1389.247,216.882,168.193,385.07500000000005
2015-04-15,1390.1879999999999,290.53,193.769,484.299
2015-04-16,1363.619,137.145,147.322,284.467
2015-04-17,1325.762,151.66,104.33,255.99
2015-04-18,1116.215,84.776,169.88,254.656
2015-04-19,1016.5070000000001,51.099000000000004,198.883,249.98200000000003
2015-04-20,1314.988,113.38,205.496,318.876
2015-04-21,1348.089,228.037,206.99,435.02700000000004
2015-04-22,1346.248,105.756,160.094,265.85
2015-04-23,1336.386,52.021,175.935,227.95600000000002
2015-04-24,1323.422,59.092,199.568,258.66
2015-04-25,1125.8609999999999,150.269,94.44,244.709
2015-04-26,1027.009,67.138,128.816,195.954
2015-04-27,1358.377,133.808,115.393,249.201
2015-04-28,1370.01,133.983,106.756,240.739
2015-04-29,1365.365,153.288,188.72,342.00800000000004
2015-04-30,1340.446,150.686,131.623,282.30899999999997
2015-05-01,1013.284,63.836999999999996,103.28,167.117
2015-05-02,1059.526,40.322,143.596,183.918
2015-05-03,1040.936,229.805,88.596,318.401
2015-05-04,1338.806,197.746,138.406,336.15200000000004
2015-05-05,1383.691,380.55899999999997,107.216,487.775
2015-05-06,1365.791,305.753,145.295,451.048
2015-05-07,1367.919,260.491,162.956,423.447
2015-05-08,1327.28,52.541,176.12800000000001,228.669
2015-05-09,1131.329,290.011,113.681,403.692
2015-05-10,1028.333,240.72,181.403,422.123
2015-05-11,1348.856,165.674,189.041,354.71500000000003
2015-05-12,1370.103,280.163,161.22,441.38300000000004
2015-05-13,1343.711,223.762,177.509,401.27099999999996
2015-05-14,1033.508,77.641,145.417,223.058
2015-05-15,1181.374,55.132,145.868,201.0
2015-05-16,1098.885,193.21,138.18,331.39
2015-05-17,1021.0070000000001,227.919,149.478,377.39700000000005
2015-05-18,1330.348,156.963,182.097,339.06
2015-05-19,1376.953,241.211,125.1,366.31100000000004
2015-05-20,1353.19,92.805,105.493,198.298
2015-05-21,1352.771,69.251,140.32,209.571
2015-05-22,1322.967,41.412,176.993,218.405
2015-05-23,1099.907,70.85,119.79599999999999,190.646
2015-05-24,948.551,22.434,143.267,165.701
2015-05-25,987.2429999999999,74.078,113.395,187.473
2015-05-26,1308.126,147.333,110.496,257.829
2015-05-27,1340.944,125.285,117.912,243.197
2015-05-28,1354.633,256.673,165.64499999999998,422.318
2015-05-29,1329.685,164.867,147.59199999999998,312.45899999999995
2015-05-30,1131.98,254.847,140.754,395.601
2015-05-31,1026.49,283.654,155.474,439.128
2015-06-01,1306.811,147.378,132.07,279.448
2015-06-02,1361.354,478.513,154.353,632.866
2015-06-03,1333.94,316.335,177.704,494.039
2015-06-04,1125.8600000000001,56.149,218.298,274.447
2015-06-05,1239.341,157.139,216.421,373.56
2015-06-06,1116.131,184.086,181.01,365.096
2015-06-07,1016.758,109.238,186.59,295.828
2015-06-08,1334.176,160.105,119.035,279.14
2015-06-09,1368.523,106.814,97.87599999999999,204.69
2015-06-10,1370.025,84.707,143.396,228.10299999999998
2015-06-11,1360.925,58.753,172.31900000000002,231.072
2015-06-12,1346.23,56.419,199.815,256.234
2015-06-13,1131.16,143.806,143.34199999999998,287.148
2015-06-14,1019.329,114.353,166.148,280.501
2015-06-15,1314.543,112.776,133.095,245.87099999999998
2015-06-16,1338.638,90.331,137.92,228.25099999999998
2015-06-17,1347.123,127.652,192.865,320.517
2015-06-18,1361.418,223.958,87.712,311.67
2015-06-19,1340.139,218.656,104.664,323.32
2015-06-20,1103.763,135.484,107.569,243.053
2015-06-21,1027.95,80.065,107.639,187.704
2015-06-22,1325.707,122.564,90.985,213.54899999999998
2015-06-23,1359.9940000000001,207.186,126.52,333.706
2015-06-24,1370.23,177.371,132.832,310.203
2015-06-25,1352.389,42.685,175.959,218.644
2015-06-26,1330.604,31.866,157.911,189.777
2015-06-27,1123.517,166.769,112.503,279.272
2015-06-28,1016.736,63.407,186.138,249.54500000000002
2015-06-29,1323.167,52.491,182.15,234.64100000000002
2015-06-30,1340.604,47.225,207.982,255.207
2015-07-01,1384.69,158.823,217.832,376.655
2015-07-02,1417.76,218.789,212.962,431.751
2015-07-03,1389.282,71.633,189.464,261.097
2015-07-04,1173.475,82.891,196.262,279.153
2015-07-05,1080.484,97.525,174.593,272.118
2015-07-06,1380.184,173.303,190.646,363.94899999999996
2015-07-07,1405.824,120.468,184.436,304.904
2015-07-08,1397.329,418.905,127.195,546.0999999999999
2015-07-09,1372.095,418.71999999999997,137.695,556.415
2015-07-10,1327.371,217.783,200.968,418.751
2015-07-11,1122.407,50.02,193.951,243.971
2015-07-12,1046.282,116.874,140.937,257.81100000000004
2015-07-13,1349.719,112.57000000000001,75.684,188.25400000000002
2015-07-14,1379.556,115.932,108.58500000000001,224.517
2015-07-15,1379.692,50.167,162.621,212.788
2015-07-16,1383.391,42.958,183.514,226.472
2015-07-17,1368.174,187.51,168.475,355.985
2015-07-18,1126.548,150.582,148.59799999999998,299.17999999999995
2015-07-19,1038.3029999999999,147.602,108.779,256.381
2015-07-20,1342.954,116.548,145.536,262.084
2015-07-21,1394.711,197.339,172.691,370.03
2015-07-22,1392.682,87.091,165.59900000000002,252.69
2015-07-23,1365.504,74.84,132.93,207.77
2015-07-24,1336.2749999999999,108.879,169.178,278.057
2015-07-25,1157.442,461.976,135.59199999999998,597.568
2015-07-26,1025.32,241.117,177.34799999999998,418.465
2015-07-27,1331.2069999999999,290.985,113.896,404.88100000000003
2015-07-28,1361.367,427.333,123.03699999999999,550.37
2015-07-29,1349.4180000000001,401.58299999999997,118.724,520.307
2015-07-30,1349.628,370.894,151.513,522.407
2015-07-31,1293.042,127.664,188.27,315.934
2015-08-01,1094.083,61.179,157.7,218.879
2015-08-02,1009.534,46.864,183.835,230.699
2015-08-03,1309.1,127.866,203.407,331.273
2015-08-04,1340.357,162.887,139.9,302.78700000000003
2015-08-05,1318.095,68.683,194.809,263.492
2015-08-06,1345.3,94.68900000000001,190.601,285.29
2015-08-07,1319.436,73.11,176.366,249.476
2015-08-08,1149.086,126.432,157.084,283.516
2015-08-09,1041.2069999999999,70.332,171.796,242.128
2015-08-10,1312.836,77.202,149.191,226.393
2015-08-11,1353.671,79.872,166.507,246.37900000000002
2015-08-12,1348.338,77.832,154.924,232.756
2015-08-13,1355.175,210.782,182.841,393.62300000000005
2015-08-14,1335.417,188.333,146.49699999999999,334.83
2015-08-15,1112.946,65.663,121.588,187.25099999999998
2015-08-16,1029.886,98.611,56.385,154.996
2015-08-17,1309.536,142.498,49.826,192.32399999999998
2015-08-18,1318.742,104.855,94.327,199.18200000000002
2015-08-19,1310.1,33.012,104.522,137.534
2015-08-20,1318.76,30.548,123.53099999999999,154.07899999999998
2015-08-21,1296.97,55.197,173.468,228.665
2015-08-22,1109.421,129.763,186.346,316.10900000000004
2015-08-23,1039.979,300.668,171.318,471.986
2015-08-24,1355.574,258.469,120.086,378.555
2015-08-25,1403.225,395.611,127.302,522.913
2015-08-26,1390.688,288.868,180.244,469.11199999999997
2015-08-27,1369.801,218.996,119.73700000000001,338.733
2015-08-28,1331.284,86.619,107.13,193.749
2015-08-29,1128.526,39.575,172.192,211.767
2015-08-30,1038.754,47.184,162.397,209.581
2015-08-31,1367.724,101.34,166.718,268.058
2015-09-01,1395.695,221.321,94.596,315.91700000000003
2015-09-02,1369.018,184.937,120.104,305.041
2015-09-03,1361.68,113.31400000000001,91.535,204.849
2015-09-04,1339.279,240.756,123.20100000000001,363.957
2015-09-05,1146.298,446.858,95.645,542.503
2015-09-06,1070.612,481.08,97.60000000000001,578.68
2015-09-07,1348.015,147.328,89.035,236.363
2015-09-08,1366.436,78.666,117.964,196.63
2015-09-09,1355.513,95.913,142.309,238.22199999999998
2015-09-10,1360.1399999999999,152.081,141.593,293.674
2015-09-11,1345.152,142.539,138.018,280.557
2015-09-12,1143.71,148.8,131.438,280.238
2015-09-13,1058.19,137.883,96.79,234.673
2015-09-14,1373.004,229.019,70.733,299.752
2015-09-15,1409.745,352.413,95.003,447.416
2015-09-16,1410.732,319.824,70.32300000000001,390.14700000000005
2015-09-17,1420.149,438.075,76.106,514.181
2015-09-18,1359.1019999999999,180.14600000000002,111.529,291.675
2015-09-19,1139.369,85.47800000000001,105.754,191.23200000000003
2015-09-20,1054.267,166.828,90.976,257.804
2015-09-21,1231.358,96.521,133.641,230.16199999999998
2015-09-22,1310.739,171.151,66.471,237.622
2015-09-23,1372.924,79.286,64.206,143.49200000000002
2015-09-24,1391.3990000000001,195.38,99.774,295.154
2015-09-25,1360.881,77.125,104.588,181.713
2015-09-26,1152.153,68.06400000000001,94.86,162.924
2015-09-27,1045.72,91.515,130.185,221.7
2015-09-28,1363.022,90.681,130.786,221.46699999999998
2015-09-29,1396.853,170.284,142.0,312.284
2015-09-30,1390.989,142.647,159.77,302.41700000000003
2015-10-01,1383.383,102.324,169.808,272.132
2015-10-02,1326.412,81.227,160.64000000000001,241.86700000000002
2015-10-03,1061.344,58.124,134.111,192.23499999999999
2015-10-04,1049.961,54.973,72.106,127.079
2015-10-05,1355.686,140.705,101.552,242.257
2015-10-06,1420.952,289.12,56.156,345.276
2015-10-07,1410.853,196.133,37.457,233.59
2015-10-08,1399.914,50.858000000000004,44.709,95.56700000000001
2015-10-09,1369.895,50.763,60.436,111.199
2015-10-10,1158.555,198.304,72.661,270.96500000000003
2015-10-11,1076.189,324.804,111.138,435.942
2015-10-12,1386.26,215.955,119.868,335.823
2015-10-13,1435.271,127.048,44.311,171.359
2015-10-14,1455.382,132.671,22.927,155.59799999999998
2015-10-15,1456.352,175.001,13.683,188.684
2015-10-16,1419.271,85.512,16.655,102.167
2015-10-17,1194.713,25.186,30.162,55.348
2015-10-18,1101.738,31.858,29.223000000000003,61.081
2015-10-19,1407.386,20.771,37.18,57.951
2015-10-20,1429.576,28.622,35.198,63.82
2015-10-21,1428.831,129.953,42.148,172.101
2015-10-22,1440.44,262.629,36.772,299.401
2015-10-23,1377.654,169.687,62.1,231.787
2015-10-24,1185.224,141.873,65.286,207.159
2015-10-25,1099.235,107.52799999999999,40.375,147.903
2015-10-26,1388.164,142.088,77.658,219.74599999999998
2015-10-27,1430.122,162.711,64.45,227.161
2015-10-28,1438.458,162.388,50.587,212.97500000000002
2015-10-29,1426.545,30.972,30.311,61.283
2015-10-30,1398.244,91.134,34.647,125.781
2015-10-31,1175.026,188.007,72.032,260.039
2015-11-01,1084.508,77.941,87.09400000000001,165.03500000000003
2015-11-02,1405.551,36.536,80.93900000000001,117.47500000000001
2015-11-03,1449.584,27.697,79.489,107.186
2015-11-04,1446.733,88.252,60.406,148.658
2015-11-05,1432.384,104.915,67.524,172.43900000000002
2015-11-06,1421.634,218.238,40.382,258.62
2015-11-07,1222.751,350.375,28.781,379.156
2015-11-08,1112.754,317.087,68.161,385.248
2015-11-09,1455.564,578.692,33.545,612.237
2015-11-10,1494.1299999999999,586.766,33.652,620.418
2015-11-11,1480.1109999999999,385.01,44.772,429.782
2015-11-12,1481.53,283.661,47.088,330.749
2015-11-13,1472.224,468.866,36.628,505.49399999999997
2015-11-14,1266.728,575.836,41.391,617.227
2015-11-15,1176.237,530.791,21.279,552.07
2015-11-16,1466.651,433.899,45.787,479.686
2015-11-17,1512.666,493.617,15.27,508.887
2015-11-18,1517.537,689.128,42.716,731.844
2015-11-19,1543.927,654.285,30.484,684.769
2015-11-20,1482.155,306.15,12.02,318.16999999999996
2015-11-21,1264.84,195.647,28.131,223.778
2015-11-22,1188.429,295.045,22.312,317.357
2015-11-23,1497.592,155.923,26.796,182.719
2015-11-24,1567.665,408.15,37.326,445.476
2015-11-25,1552.148,175.266,11.466000000000001,186.732
2015-11-26,1527.195,97.361,23.362000000000002,120.72300000000001
2015-11-27,1504.421,248.98600000000002,32.101,281.087
2015-11-28,1317.162,494.203,17.985,512.188
2015-11-29,1236.905,696.636,7.6690000000000005,704.305
2015-11-30,1532.064,597.158,11.927,609.085
2015-12-01,1537.236,403.438,14.225999999999999,417.664
2015-12-02,1523.202,344.277,11.215,355.49199999999996
2015-12-03,1502.84,280.164,32.06,312.224
2015-12-04,1512.051,509.938,18.36,528.298
2015-12-05,1294.814,584.731,37.128,621.859
2015-12-06,1195.715,589.628,39.066,628.6940000000001
2015-12-07,1471.699,115.881,37.846000000000004,153.727
2015-12-08,1513.542,216.437,42.706,259.14300000000003
2015-12-09,1520.584,279.993,21.604,301.597
2015-12-10,1547.135,383.736,38.635,422.371
2015-12-11,1536.423,519.493,21.61,541.1030000000001
2015-12-12,1283.543,422.248,25.05,447.298
2015-12-13,1191.506,288.092,23.286,311.378
2015-12-14,1479.403,110.00999999999999,27.409,137.41899999999998
2015-12-15,1493.844,81.881,18.889,100.77
2015-12-16,1498.972,253.003,11.902,264.905
2015-12-17,1457.243,348.14,14.894,363.034
2015-12-18,1416.7549999999999,328.023,13.019,341.04200000000003
2015-12-19,1212.958,315.383,28.491,343.87399999999997
2015-12-20,1122.305,370.889,31.769,402.658
2015-12-21,1359.277,583.385,13.837,597.222
2015-12-22,1340.75,638.509,26.539,665.048
2015-12-23,1275.403,552.048,28.189,580.237
2015-12-24,1083.063,450.48,36.869,487.34900000000005
